Policy_ID,Policyholder_Name,Age,Gender,Policy_Start_Date,Policy_End_Date,Country,Vehicle_Make,Vehicle_Model,Vehicle_Year,Autonomy_Level,VIN,Coverage_Type,Annual_Premium,Deductible,Claim_History,Last_Claim_Date,Claim_Amount,Safety_Score,Num_Accidents,IoT_Monitoring,Past_Fraud_Record,Policy_Status,ML_Risk_Score,Dynamic_Risk_Score,Risk_Category
10000,Norma Fisher,49,0,0,0,0,0,10,2022,1,1HGCM82633A876475,1,1166,598,1,0,4134,68,2,1,0,0,68,68,HIGH A
10001,Colleen Taylor,64,0,0,0,0,0,1,2019,2,1HGCM82633A194892,1,1283,586,0,0,0,82,3,0,0,0,82,92,VERY HIGH
10002,Nicholas Nolan,60,0,0,0,1,1,3,2019,2,1HGCM82633A578156,0,895,668,3,0,9,99,3,0,0,0,99,109,VERY HIGH
10003,Susan Levy,45,1,0,0,0,1,13,2020,0,1HGCM82633A784080,2,1258,346,0,0,0,80,4,0,0,0,80,90,VERY HIGH
10004,Ryan Page,44,0,0,0,0,1,3,2023,0,1HGCM82633A097535,2,1360,600,2,0,3645,65,4,0,1,0,65,95,VERY HIGH
10005,Cheryl Bradley,61,1,0,0,1,4,5,2020,0,1HGCM82633A287115,2,1472,433,3,0,565,65,5,1,0,0,65,75,HIGH B
10006,Mrs. Elizabeth Carter MD,27,1,0,0,1,5,0,2023,0,1HGCM82633A839894,0,1495,601,3,0,4748,77,3,0,1,0,77,107,VERY HIGH
10007,Robert Stewart,30,0,0,0,0,2,11,2020,0,1HGCM82633A423209,0,1077,359,1,0,3047,70,2,0,0,0,70,70,HIGH B
10008,Benjamin Shelton,31,1,0,0,0,3,2,2023,2,1HGCM82633A201868,2,875,313,0,0,0,100,1,1,1,0,100,120,VERY HIGH
10009,Robert Atkinson,30,0,0,0,0,3,2,2019,0,1HGCM82633A969477,0,926,545,1,0,500,61,4,0,0,0,61,71,HIGH B
10010,Melody Haas,41,1,0,0,0,3,6,2021,1,1HGCM82633A159179,0,862,557,3,0,322,98,0,0,0,0,98,98,VERY HIGH
10011,Connor Smith,41,0,0,0,1,1,13,2020,0,1HGCM82633A135256,2,962,382,2,0,4337,76,0,0,0,0,76,76,HIGH B
10012,Charles Wolfe,25,0,0,0,1,1,3,2021,1,1HGCM82633A989101,2,1056,378,0,0,0,89,5,1,1,0,89,119,VERY HIGH
10013,Lisa Johnston,27,0,0,0,0,4,14,2021,2,1HGCM82633A151090,1,1489,483,1,0,2541,84,5,0,0,0,84,94,VERY HIGH
10014,Cathy Martinez,25,1,0,0,1,4,5,2020,2,1HGCM82633A008691,1,1187,663,3,0,258,85,5,0,0,0,85,95,VERY HIGH
10015,Benjamin Turner,35,0,0,0,0,0,1,2022,2,1HGCM82633A208709,1,1374,609,0,0,0,62,3,0,1,0,62,92,VERY HIGH
10016,William Gonzalez,54,1,0,0,1,4,4,2019,2,1HGCM82633A792302,0,815,505,3,0,2590,60,1,1,0,0,60,60,HIGH A
10017,David Carlson,68,1,0,0,0,3,2,2020,1,1HGCM82633A207698,1,986,351,3,0,3249,100,0,1,1,0,100,120,VERY HIGH
10018,Jasmine Sandoval,53,1,0,0,1,4,4,2023,2,1HGCM82633A807150,2,1155,358,1,0,2280,61,0,1,0,0,61,61,HIGH A
10019,David Benton,68,0,0,0,1,0,1,2023,2,1HGCM82633A945992,1,1459,534,3,0,3051,94,1,1,1,0,94,114,VERY HIGH
10020,Paul Poole,62,0,0,0,0,4,5,2021,1,1HGCM82633A093523,1,1176,667,0,0,0,81,4,1,0,0,81,91,VERY HIGH
10021,Jerome Page,42,1,0,0,0,1,3,2021,1,1HGCM82633A960696,2,932,450,0,0,0,90,5,1,0,0,90,100,VERY HIGH
10022,Michelle Martin,44,1,0,0,0,0,10,2021,1,1HGCM82633A427878,1,911,350,3,0,3883,81,2,1,1,0,81,101,VERY HIGH
10023,Stacey Simpson,32,0,0,0,1,3,6,2021,2,1HGCM82633A706381,2,959,385,3,0,712,64,0,1,0,0,64,64,HIGH A
10024,Adrian Herring,28,0,0,0,0,3,9,2023,2,1HGCM82633A503008,1,1259,550,1,0,3465,65,2,1,1,0,65,85,VERY HIGH
10025,Bryan Banks,62,1,0,0,1,4,14,2019,0,1HGCM82633A421761,2,828,569,3,0,1652,67,3,0,1,0,67,97,VERY HIGH
10026,Jesse Sparks,38,1,0,0,0,1,13,2019,0,1HGCM82633A285124,1,1187,485,1,0,858,98,3,1,1,0,98,128,VERY HIGH
10027,Daniel Green,65,0,0,0,1,5,0,2022,1,1HGCM82633A590977,2,1486,403,1,0,79,81,5,0,1,0,81,111,VERY HIGH
10028,Seth Thompson,27,1,0,0,1,1,13,2022,2,1HGCM82633A940224,1,1281,333,0,0,0,93,0,1,0,0,93,93,VERY HIGH
10029,Richard Higgins,33,1,0,0,1,3,9,2021,0,1HGCM82633A900422,0,1471,535,2,0,4136,84,4,1,0,0,84,94,VERY HIGH
10030,James Kelley,68,1,0,0,1,4,14,2023,2,1HGCM82633A173042,1,1293,498,1,0,167,60,5,1,1,0,60,90,VERY HIGH
10031,Elizabeth Houston,57,0,0,0,1,3,9,2021,1,1HGCM82633A611877,1,1193,496,0,0,0,70,5,1,0,0,70,80,VERY HIGH
10032,Robert Burnett,43,0,0,0,0,3,9,2022,0,1HGCM82633A717604,1,1416,667,0,0,0,69,2,0,0,0,69,69,HIGH A
